word,level,meaning_en
가게,I,"store, shop"
가격,I,price
가구,I,furniture
가깝다,I,close
가끔,I,sometimes
가다,I,go
가르치다,I,teach
가방,I,bag
가볍다,I,light
가수,I,singer
가슴,I,"chest, breast"
가요,I,song
가운데,I,middle
가위,I,scissors
가을,I,"autumn, fall"
가장,I,most
가져가다,I,take away
가져오다,I,bring
가족,I,family
가지,I,branch
가지다,I,have
각,I,each
간,I,while
간단하다,I,"simple, easy"
간단히,I,simply
간식,I,snack
간장,I,soy sauce
간호사,I,nurse
갈비,I,"Galvi, spareribs"
갈비탕,I,"Galbitang, spareribs soup"
갈색,I,brown
갈아타다,I,transfer
감,I,persimmon
감기,I,cold
감기약,I,cold medicine
감다,I,close ~ (eyes)
감동,I,sensation
감동하다,I,be impressed
감사,I,thank
감사드립니다,I,thank you
감사하다,I,"thank, appreciate"
감사합니다,I,thank you
감자,I,potato
감자탕,I,"Gamjatang, potato soup"
갑자기,I,suddenly
값,I,price
강,I,river
강아지,I,puppy
강좌,I,lecture
갖다,I,have
같다,I,same
같이,I,together
개,I,"dog, ~ piece(s)"
개나리,I,forsythia
개인,I,individual
거기,I,there
거리,I,street
거실,I,living room
거울,I,mirror
거의,I,"almost, nearly"
거짓말,I,lie
걱정,I,"anxiety, concern"
걱정하다,I,worry
건강,I,health
건강하다,I,be healthy
건너가다,I,cross (a road)
건너다,I,cross over
건너편,I,"other side, opposite side"
건물,I,building
건배,I,"cheers, toast"
걷다,I,walk
걸다,I,"bet, call"
걸리다,I,"get caught, take (time)"
걸어가다,I,walk (go)
걸어오다,I,walk (come)
검은색,I,black
것,I,"that, thing, it"
게임,I,game
겨울,I,winter
겨울방학,I,winter vacation
결과,I,result
결정,I,decision
결정하다,I,decide
결혼,I,marriage
결혼식,I,wedding ceremony
결혼하다,I,get married
경기,I,"competition, game"
경기장,I,"stadium, arena"
경복궁,I,Gyeongbokgung
경주,I,Gyeongju
경찰,I,police
경찰관,I,police officer
경찰서,I,police office
경치,I,"view, landscape"
경험,I,experience
계단,I,stairs
계란,I,egg
계산하다,I,calculate
계속,I,continue
계시다,I,"be, exist (honorific form)"
계절,I,season
계획,I,plan
고기,I,meat
고등학교,I,high school
고등학생,I,high school student
고르다,I,choose
고마웠습니다,I,Thank you (past tense)
고맙다,I,thank
고맙습니다,I,Thank you
고모,I,paternal aunt
고모부,I,paternal uncle
고속버스,I,express bus
고양이,I,cat
고장,I,"broken, malfunction"
고추,I,red pepper
고추장,I,"Kochujang, red pepper paste"
고치다,I,fix
고프다,I,hungry
고향,I,hometown
곧,I,soon
골목,I,alley
골프,I,golf
곱다,I,beautiful
곳,I,place
공,I,ball
공간,I,space
공기,I,air
공무원,I,public official
공부,I,study
공부하다,I,study
공연,I,"show, public performance"
공원,I,park
공중전화,I,"payphone, public phone"
공짜,I,free
공책,I,"notebook, note"
공항,I,airport
공휴일,I,public holiday
과,I,division
과거,I,past
과일,I,fruit
과자,I,snack
과학,I,science
관계,I,relation
관광하다,I,"travel, sightsee"
관심,I,"attention, interest"
광고,I,advertisement
괜찮다,I,be okay
괜찮습니다,I,It's fine.
교과서,I,textbook
교수,I,professor
교실,I,classroom
교체,I,"substitute, change"
교통,I,traffic
교통사고,I,traffic accident
교회,I,church
구,I,9
구경하다,I,take a look
구두,I,shoes
구름,I,cloud
구십,I,90
구월,I,September
구하다,I,"save, seek, get"
국,I,soup
국내,I,domestic
국립,I,"nationalestablished, state"
국수,I,noodle
국어,I,Korean language
국적,I,"nationality, country of citizenship"
국제,I,international
군인,I,"soldier, military personnel"
굽다,I,bake
권,I,~ book(s)
귀,I,ear
귀엽다,I,cute
규칙,I,rule
귤,I,mandarin orange
그,I,it
그거,I,it
그것,I,it
그곳,I,there
그날,I,that day
그냥,I,"just, as it is"
그동안,I,"meantime, meanwhile, up to now"
그들,I,"them, they"
그때,I,"then, at that time"
그래,I,"Yes, Yeah"
그래서,I,"so, thus"
그램,I,gram
그러나,I,"but, however"
그러니까,I,"so, because"
그러면,I,"then, if so"
그런,I,"then, such"
그런데,I,"by the way, however"
그럼,I,then
그렇게,I,"like that, so"
그렇구나,I,"well, I see."
그렇다,I,"Yes, that's it."
그렇습니다,I,That's right.
그렇지만,I,"nevertheless, but"
그릇,I,"bowl, container, tableware"
그리고,I,and
그리다,I,draw
그림,I,"drawing, picture"
그만,I,"stop, finish"
그분,I,"his, the person"
그저께,I,day before yesterday
그중,I,among them
그쪽,I,"there, the person"
그치다,I,"stop, end, cease"
극장,I,"theater, cinema"
근처,I,"nearby, neighborhood"
글,I,"post, sentence, character"
글쎄요,I,"I do not know., well, I guess ~"
금방,I,"soon, a little while ago"
금연,I,no smoking
금요일,I,Friday
금주,I,"abstinence, temperance"
급,I,"class, grade"
급하다,I,"hurry, urgent"
기간,I,"term, period"
기다리다,I,wait
기르다,I,"cultivate, grow"
기름,I,"oil, gasoline"
기분,I,feeling
기뻐하다,I,"glad, delight"
기쁘다,I,happy
기사,I,"article, driver, engineer"
기숙사,I,dormitory
기억하다,I,remember
기온,I,temperature
기자,I,reporter
기차,I,train
기침,I,cough
기타,I,other
긴장되다,I,be nervous
길,I,"way, road"
길다,I,long
김,I,seaweed
김밥,I,Kimbab
김치,I,Kimchi
김치찌개,I,Kimchi stew
김포공항,I,Gimpo International Airport
까만색,I,black color
까맣다,I,black
깎다,I,"cut, shave"
깜짝,I,"startled, surprised"
깨끗하다,I,clean
깨다,I,"wake up, crack, break"
깨지다,I,"chip, crack, break"
꺼내다,I,take out
껌,I,chewing gum
꼭,I,"exactly, absolutely"
꽃,I,flower
꽃집,I,florist
꾸다,I,dream
꿈,I,dream
끄다,I,"turn off, extinguish, stop"
끓이다,I,boil
끝,I,end
끝나다,I,"finish, end"
끝내다,I,finish
끼다,I,"put on, plug, (fog) rolls in"
나,I,I
나가다,I,"go out, get out"
나누다,I,"share, divide"
나다,I,"occur, come out"
나라,I,country
나무,I,tree
나빠지다,I,"spoil, deteriorate"
나쁘다,I,bad
나오다,I,"come out, appear"
나이,I,"age, old"
나중,I,"later, after"
나타나다,I,appear
나흘,I,four days
낚시,I,fishing
날,I,day
날씨,I,weather
날짜,I,date
남,I,"south, man"
남기다,I,leave
남녀,I,men and women
남대문시장,I,Namdaemun market
남동생,I,younger brother
남미,I,South America
남북,I,north and south
남자,I,man
남쪽,I,south
남편,I,husband
남학생,I,male student
낮,I,"day, noon, during the day"
낮다,I,low
내,I,"of mine, my"
내가,I,I
내과,I,internal medicine
내년,I,next year
내다,I,"pay, put out"
내려가다,I,go down
내려오다,I,come down
내리다,I,go down
내용,I,content
내일,I,tomorrow
냄비,I,pot
냄새,I,smell
냉면,I,cold noodle
냉장고,I,refrigerator
너,I,you
너무,I,"too, very"
넓다,I,wide
넘다,I,"exceed, more than"
넘어지다,I,"fall down, fall"
넣다,I,put in
네,I,"yes, 4"
넥타이,I,necktie
넷,I,4
넷째,I,fourth
년,I,year
노란색,I,yellow color
노랗다,I,yellow
노래,I,song
노래방,I,Karaoke shop
노래하다,I,sing
노력하다,I,"endeavor, strive"
노트,I,note
녹색,I,green
녹차,I,green tea
놀다,I,play
놀라다,I,be surprised
농구,I,basketball
높다,I,high
놓다,I,put
누가,I,who
누구,I,who
누나,I,sister (as seen from the younger brother)
누르다,I,"press down, push"
눈,I,"eye, snow"
눈물,I,tear
눈사람,I,snowman
눈싸움,I,"staring contest, snowball fight"
눕다,I,"lie down, sleep"
뉴스,I,news
뉴욕,I,New York
느끼다,I,feel
느낌,I,feeling
느리다,I,slow
늘,I,always
늘다,I,"gain, increase"
능력,I,ability
늦다,I,"late, delay"
늦잠,I,"overslept, sleeping in late"
님,I,Sir
다,I,"all, whole"
다녀오다,I,"return, come back"
다니다,I,"go, commute"
다르다,I,different
다른,I,"other ~, another ~, different ~"
다리,I,"bridge, leg, foot"
다섯,I,5
다시,I,again
다음,I,"next, after"
다음달,I,next month
다음주,I,next week
다음해,I,"next year, following year"
다이어트,I,diet
다치다,I,hurt
닦다,I,"wipe, polish"
단어,I,word
단점,I,"disadvantage, shortcoming, drawback"
닫다,I,close
닫히다,I,"shut, close"
달,I,"month, moon"
달걀,I,egg
달다,I,sweet
달러,I,dollar
달력,I,calendar
달리다,I,run
닭,I,"chicken, hen"
닭고기,I,chicken
닮다,I,resemble
담그다,I,"dip, pickle"
담배,I,tobacco
답장,I,reply
당근,I,carrot
당신,I,you
대,I,"versus, large"
대답,I,answer
대답하다,I,"answer, reply"
대부분,I,"mostly, almost"
대사관,I,embassy
대학,I,"university, college"
대학교,I,"university, college"
대학생,I,college student
대학원,I,graduate school
대학원생,I,"postgraduate student, graduate student"
대한민국,I,"Republic of Korea, South Korea"
대화,I,"conversation, dialogue"
대회,I,"competition, tournament"
댁,I,house
더,I,more
더럽다,I,dirty
더운물,I,hot water
덕분,I,"thanks for, thanks to"
덥다,I,hot
덮다,I,cover
데리다,I,"bring, take along"
데이트,I,"date, dating"
도로,I,road
도서관,I,library
도시,I,city
도와주다,I,help
도움,I,"help, assistance"
도착,I,arrival
도착하다,I,arrive
도쿄,I,Tokyo
독서,I,reading
독서실,I,reading room
독서하다,I,read
독일,I,Germany
돈,I,money
돌아가다,I,"return, go back"
돌아오다,I,"come back, come home"
돕다,I,help
동네,I,"town, neighborhood"
동대문시장,I,Dongdaemun market
동물,I,animal
동생,I,"brother, sister"
동아리,I,"club, group"
동안,I,"during, between"
동양,I,"eastern, orient"
동전,I,coin
동쪽,I,east
돼지,I,pig
돼지고기,I,pork
되다,I,become
된장,I,fermented soybean paste
된장국,I,soybean paste soup
된장찌개,I,soybean paste stew
두,I,two
두껍다,I,thick
두다,I,put
두부,I,tofu
두부찌개,I,tofu soup
둘,I,2
둘째,I,"second, the second of~"
뒤,I,"rear, back"
뒤쪽,I,"behind, back, towards the rear"
드라마,I,drama
드리다,I,give
드시다,I,eat (honorific form)
듣기,I,"listening, hearing"
듣다,I,listen
들,I,"field, ~s,"
들다,I,"hold, enter"
들어가다,I,"go in, enter"
들어오다,I,"come in, enter"
등,I,"etc, back"
등산,I,"hiking, mountain-climbing"
등산복,I,mountaineering clothing
등산화,I,"hiking boots, climbing shoes"
디브이디,I,DVD
디자인,I,design
따뜻하다,I,warm
따라가다,I,follow
따라오다,I,"come with, follow"
따로,I,separately
따르다,I,follow
딸,I,daughter
딸기,I,strawberry
땀,I,sweat
때,I,time
때문,I,"because, for ~, so~"
떠나다,I,leave
떠들다,I,"chatter, make a noise"
떡,I,rice cake
떡국,I,rice cake soup
떡볶이,I,Toppogi
떨어지다,I,drop
또,I,"in addition, again"
또는,I,or
똑같다,I,same
똑바로,I,"upright, straight"
뛰다,I,run
뜨겁다,I,hot
뜨다,I,"rise, open (the eyes)"
뜻,I,meaning
라디오,I,radio
라면,I,ramen
러시아,I,Russia
로션,I,skin lotion
마늘,I,garlic
마르다,I,dry
마리,I,"~ animal(s), ~ head(s)"
마시다,I,drink
마음,I,"mind, feeling"
마지막,I,last
마치다,I,"finish, end"
마흔,I,40
막히다,I,"be blocked, be clogged"
만,I,"only, ten thousand"
만나다,I,meet
만두,I,dumpling
만들다,I,"make, create"
만일,I,"if, should"
만지다,I,touch
만화,I,"comic book, cartoon"
많다,I,many
많이,I,"a lot of, many"
말,I,"word, talk"
말씀,I,"words, remarks"
말씀하다,I,talk
말하기,I,speaking
말하다,I,"say, talk"
맑다,I,"clear, clean"
맛,I,"flavor, taste"
맛없다,I,not delicious
맛있다,I,delicious
맞다,I,"right, fit, correct"
맞습니다,I,That's right.
맞아요,I,That's right.
맞은편,I,"across, the other side, opposite"
매다,I,tie
매우,I,"extremely, very"
매일,I,everyday
매주,I,every week
맥주,I,beer
맵다,I,spicy
머리,I,"head, hair"
먹다,I,eat
먼저,I,"first, first of all, before"
멀다,I,"far, distant, long"
멋있다,I,"cool, nice"
메뉴,I,menu
메다,I,"shoulder, carry"
메모,I,memo
메시지,I,message
멕시코,I,Mexico
며칠,I,"a few days, what date"
면도,I,"razor, shaving"
명,I,~  person(s)
명절,I,"holidays, annual events"
몇,I,"a few, a number of"
모두,I,"all, everyone"
모레,I,the day after tomorrow
